clauseCode,category,wordingRelationship,expected,predicted,correct,coverage,retrieval,bm25,semantic,confidence
ECG-ALGORITHM,Software Lifecycle,SATISFIED_PARAPHRASE,PASS,REJECT,0,0.000,0.398,0.085,0.566,0.60
ECG-ALGORITHM,Software Lifecycle,NOT_SATISFIED_DISTRACTOR,REJECT,MINOR_IMPROVEMENT,0,0.750,0.601,0.336,0.743,0.65
NEB-GASPATH-BIOCOMPAT,Biocompatibility,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.704,0.491,0.820,0.80
NEB-GASPATH-BIOCOMPAT,Biocompatibility,SATISFIED_PARAPHRASE,PASS,MINOR_IMPROVEMENT,0,0.333,0.425,0.074,0.614,0.57
NEB-GASPATH-BIOCOMPAT,Biocompatibility,NOT_SATISFIED_DISTRACTOR,REJECT,MINOR_IMPROVEMENT,0,0.667,0.440,0.164,0.589,0.63
OXI-ALARM,Safety Testing,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.621,0.555,0.656,0.80
OXI-ALARM,Safety Testing,SATISFIED_PARAPHRASE,PASS,REJECT,0,0.000,0.375,0.070,0.539,0.60
OXI-ALARM,Safety Testing,NOT_SATISFIED_DISTRACTOR,REJECT,MINOR_IMPROVEMENT,0,0.667,0.458,0.240,0.575,0.63
OXI-SPO2-ACCURACY,Performance Testing,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.613,0.325,0.768,0.80
OXI-SPO2-ACCURACY,Performance Testing,SATISFIED_PARAPHRASE,PASS,MINOR_IMPROVEMENT,0,0.500,0.406,0.118,0.562,0.60
OXI-SPO2-ACCURACY,Performance Testing,NOT_SATISFIED_DISTRACTOR,REJECT,PASS,0,1.000,0.614,0.246,0.811,0.80
THERM-SITE-MODE,Labelling,SATISFIED_LITERAL,PASS,PASS,1,1.000,0.709,0.675,0.728,0.80
THERM-SITE-MODE,Labelling,SATISFIED_PARAPHRASE,PASS,MINOR_IMPROVEMENT,0,0.667,0.406,0.059,0.593,0.63
THERM-SITE-MODE,Labelling,NOT_SATISFIED_DISTRACTOR,MINOR_IMPROVEMENT,PASS,0,1.000,0.518,0.341,0.614,0.80
